50	50	0	9.71E-02	9.24E-02	2.38E+00	1.42E+00	1.17E+00	1.69E+00	-1.37E+00
150	50	0	1.20E-01	-1.92E-01	2.41E+00	1.44E+00	1.52E+00	1.92E+00	-1.62E+00
250	50	0	1.33E-01	-6.97E-01	2.45E+00	1.15E+00	2.21E+00	2.51E+00	-1.25E+00
350	50	0	1.16E-01	-1.08E+00	2.40E+00	1.28E+00	2.45E+00	2.87E+00	-1.66E+00
450	50	0	1.36E-01	-1.34E+00	2.21E+00	1.14E+00	3.19E+00	3.58E+00	-1.30E+00
550	50	0	1.40E-01	-1.74E+00	1.91E+00	1.19E+00	3.20E+00	3.09E+00	-1.63E+00
650	50	0	1.77E-01	-1.75E+00	1.66E+00	1.34E+00	3.80E+00	3.52E+00	-1.65E+00
750	50	0	1.61E-01	-2.01E+00	1.34E+00	7.96E-01	3.26E+00	3.64E+00	-1.31E+00
850	50	0	2.07E-01	-2.20E+00	1.20E+00	1.04E+00	3.94E+00	4.03E+00	-1.51E+00
950	50	0	1.88E-01	-2.37E+00	7.93E-01	5.35E-01	4.09E+00	4.25E+00	-1.61E+00
1050	50	0	1.91E-01	-2.73E+00	3.58E-01	2.92E-01	4.52E+00	4.44E+00	-1.65E+00
1150	50	0	2.39E-01	-2.93E+00	4.56E-03	1.97E-01	4.31E+00	4.54E+00	-1.51E+00
1250	50	0	2.44E-01	-2.87E+00	-6.13E-01	-1.06E-01	4.58E+00	4.55E+00	-1.25E+00
1350	50	0	1.94E-01	-2.73E+00	-1.10E+00	-5.06E-01	4.47E+00	4.53E+00	-1.10E+00
1450	50	0	1.99E-01	-2.54E+00	-1.56E+00	-1.08E+00	3.77E+00	4.48E+00	-1.23E+00
1550	50	0	2.20E-01	-2.17E+00	-2.07E+00	-1.26E+00	3.28E+00	4.32E+00	-1.32E+00
1650	50	0	1.68E-01	-1.63E+00	-2.50E+00	-1.50E+00	3.16E+00	3.55E+00	-1.13E+00
1750	50	0	1.88E-01	-1.26E+00	-2.70E+00	-1.58E+00	2.34E+00	3.63E+00	-1.04E+00
1850	50	0	1.59E-01	-6.47E-01	-2.59E+00	-1.66E+00	1.93E+00	2.92E+00	-1.26E+00
1950	50	0	1.32E-01	-3.32E-01	-2.70E+00	-1.47E+00	1.37E+00	2.56E+00	-8.29E-01
50	150	0	1.17E-01	2.57E-01	2.79E+00	1.76E+00	1.19E+00	1.82E+00	-1.42E+00
150	150	0	1.65E-01	-4.06E-01	2.92E+00	1.68E+00	1.76E+00	2.08E+00	-1.22E+00
250	150	0	1.67E-01	-5.19E-01	2.98E+00	1.83E+00	2.29E+00	3.11E+00	-1.26E+00
350	150	0	1.64E-01	-1.37E+00	2.82E+00	1.83E+00	2.70E+00	3.61E+00	-1.50E+00
450	150	0	1.96E-01	-1.55E+00	2.60E+00	1.65E+00	2.96E+00	3.58E+00	-1.57E+00
550	150	0	1.92E-01	-1.96E+00	2.30E+00	1.46E+00	3.34E+00	4.05E+00	-1.38E+00
650	150	0	2.22E-01	-2.32E+00	2.15E+00	1.27E+00	3.81E+00	4.86E+00	-1.96E+00
750	150	0	2.57E-01	-2.37E+00	1.68E+00	1.03E+00	3.58E+00	5.34E+00	-1.55E+00
850	150	0	2.52E-01	-2.59E+00	1.23E+00	9.85E-01	3.93E+00	5.71E+00	-1.49E+00
950	150	0	2.41E-01	-2.71E+00	8.62E-01	8.47E-01	4.02E+00	5.43E+00	-1.34E+00
1050	150	0	2.66E-01	-3.14E+00	4.18E-01	5.35E-01	4.41E+00	6.04E+00	-1.50E+00
1150	150	0	2.53E-01	-3.34E+00	1.62E-01	2.39E-01	4.68E+00	6.22E+00	-1.49E+00
1250	150	0	2.95E-01	-3.52E+00	-6.87E-01	-2.23E-01	5.05E+00	6.12E+00	-1.65E+00
1350	150	0	2.32E-01	-3.33E+00	-1.26E+00	-6.26E-01	4.50E+00	5.77E+00	-8.91E-01
1450	150	0	2.39E-01	-3.09E+00	-1.99E+00	-1.29E+00	4.01E+00	5.46E+00	-7.48E-01
1550	150	0	2.47E-01	-2.74E+00	-2.75E+00	-1.64E+00	3.65E+00	5.45E+00	-1.09E+00
1650	150	0	2.05E-01	-2.10E+00	-2.90E+00	-1.88E+00	3.22E+00	4.26E+00	-5.22E-01
1750	150	0	1.98E-01	-1.21E+00	-3.23E+00	-2.13E+00	2.68E+00	3.94E+00	-1.22E+00
1850	150	0	1.87E-01	-7.83E-01	-3.16E+00	-2.07E+00	1.79E+00	3.38E+00	-1.40E+00
1950	150	0	1.75E-01	-7.91E-02	-3.14E+00	-2.27E+00	1.31E+00	2.99E+00	-1.16E+00
50	250	0	1.30E-01	2.81E-01	3.26E+00	2.21E+00	1.21E+00	2.44E+00	-1.36E+00
150	250	0	1.64E-01	-2.31E-01	3.37E+00	2.36E+00	1.60E+00	2.84E+00	-1.27E+00
250	250	0	1.83E-01	-6.50E-01	3.49E+00	2.36E+00	2.19E+00	3.97E+00	-1.40E+00
350	250	0	2.12E-01	-1.29E+00	3.34E+00	2.25E+00	2.73E+00	4.42E+00	-1.58E+00
450	250	0	2.42E-01	-1.78E+00	2.89E+00	2.09E+00	3.24E+00	5.68E+00	-1.73E+00
550	250	0	2.47E-01	-2.37E+00	2.58E+00	1.70E+00	3.88E+00	5.58E+00	-1.52E+00
650	250	0	2.87E-01	-2.44E+00	2.16E+00	1.86E+00	3.83E+00	6.27E+00	-1.66E+00
750	250	0	2.98E-01	-2.72E+00	1.71E+00	1.60E+00	4.05E+00	7.09E+00	-1.16E+00
850	250	0	2.98E-01	-2.95E+00	1.47E+00	1.18E+00	3.97E+00	7.19E+00	-1.24E+00
950	250	0	3.22E-01	-3.04E+00	1.03E+00	9.28E-01	4.40E+00	7.27E+00	-1.45E+00
1050	250	0	3.43E-01	-3.47E+00	6.77E-01	7.81E-01	4.53E+00	7.74E+00	-7.71E-01
